Pair_ID,Source_table,Thermometer_calibration,Barometer_calibration,Reference,Run,LEPR_ID,T_C_exp,P_kbar_exp,H2O_Liq_wt_pct,CaTs_Cpx_source_marker,SiO2_Cpx_wt_pct,TiO2_Cpx_wt_pct,Al2O3_Cpx_wt_pct,FeO_Cpx_wt_pct,MnO_Cpx_wt_pct,MgO_Cpx_wt_pct,CaO_Cpx_wt_pct,Na2O_Cpx_wt_pct,K2O_Cpx_wt_pct,P2O5_Cpx_wt_pct,Total_Cpx_wt_pct,SiO2_Liq_wt_pct,TiO2_Liq_wt_pct,Al2O3_Liq_wt_pct,FeO_Liq_wt_pct,MnO_Liq_wt_pct,MgO_Liq_wt_pct,CaO_Liq_wt_pct,Na2O_Liq_wt_pct,K2O_Liq_wt_pct,P2O5_Liq_wt_pct,Total_Liq_wt_pct
Masotta2013_1EA_011,Table 1EA,1,1,"Masotta et al., 2013",TGVT-12,,925,2,3.25,X,46.24,1.24,6.32,9.53,0.36,9.99,23.26,0.38,0.19,0.03,97.54,58.07,0.52,20.47,2.85,0.15,0.51,4.45,4.19,8.71,0.08,100
Masotta2013_1EA_012,Table 1EA,1,1,"Masotta et al., 2013",TGVT-13,,950,2,2.2,X,47.57,1.04,6.63,11.37,0.28,9.08,23.02,0.5,0.18,0,99.67,57.91,0.48,19.86,3.25,0.13,0.46,4.77,4.47,8.55,0.11,100
Masotta2013_1EA_013,Table 1EA,1,1,"Masotta et al., 2013",TGVT-14,,950,2,3.33,X,46.9,1.19,5.83,10.72,0.49,9.71,22.34,0.47,0.18,0.01,97.85,58.62,0.53,20.46,3.17,0.16,0.41,3.84,4.07,8.66,0.08,100
Masotta2013_1EA_014,Table 1EA,1,1,"Masotta et al., 2013",VGPL-1,,1000,2,3.29,X,51.52,0.51,2.83,9.14,0.27,13.61,20.58,0.33,0.1,0.03,98.94,60.36,0.5,16.89,4.91,0.13,1.92,4.36,4.19,6.44,0.3,100
Masotta2013_1EA_015,Table 1EA,1,1,"Masotta et al., 2013",VGPL-2,,900,2,4.91,X,46.11,0.54,6.31,12.8,0.3,9.19,21.68,0.51,0.12,0.12,97.68,66.98,0.39,18.79,2.42,0.09,0.63,2.19,2.38,6,0.14,100
Masotta2013_1EA_016,Table 1EA,1,1,"Masotta et al., 2013",VGPL-3,,950,2,6.84,X,49.83,0.39,2.86,8.39,0.32,13.77,21.81,0.42,0.12,0.09,97.98,62.4,0.5,17.76,3.28,0.08,1.12,3.13,4.76,6.76,0.22,100
Masotta2013_1EA_017,Table 1EA,1,1,"Masotta et al., 2013",VGPL-4,,950,2,4.51,X,49.05,0.66,4.52,11.11,0.31,11.76,20.62,0.45,0.14,0.1,98.72,62.41,0.48,18.43,2.49,0.07,0.78,2.46,5.2,7.35,0.32,100
Masotta2013_1EA_018,Table 1EA,1,1,"Masotta et al., 2013",VGPL-5,,950,2,2.4,X,49.4,0.65,4.89,11.54,0.32,11.42,21.26,0.42,0.15,0,100.04,63.52,0.47,18.19,2.6,0.07,0.85,2.65,4.76,6.59,0.31,100
Masotta2013_1EA_019,Table 1EA,1,1,"Masotta et al., 2013",VGPL-6,,950,2,2.97,X,48.69,0.55,4.47,11.51,0.34,11.44,20.38,0.47,0.18,0.08,98.1,64.59,0.35,18.2,2.99,0.09,0.71,2.11,4.04,6.72,0.2,100
Masotta2013_1EA_020,Table 1EA,1,1,"Masotta et al., 2013",VGPL-7,,975,2,6.21,,51.71,0.27,1.96,8.94,0.35,14.81,20.55,0.44,0.19,0.01,99.23,62.03,0.46,17.94,3.16,0.09,1.18,3.15,4.97,6.78,0.24,100
Masotta2013_1EA_021,Table 1EA,1,1,"Masotta et al., 2013",VGPL-8,,1000,2,4.57,X,51.15,0.42,2.59,7.53,0.21,14.35,21.57,0.43,0.13,0.04,98.43,61.46,0.48,17.44,3.65,0.12,1.38,3.76,4.81,6.52,0.38,100
Masotta2013_1EA_022,Table 1EA,1,1,"Masotta et al., 2013",VGPL-9,,1000,2,1.73,X,49.84,0.42,4.25,10.16,0.27,12.64,21.27,0.47,0.14,0,99.45,61.83,0.46,17.67,3.81,0.08,1.37,3.62,4.62,6.18,0.35,100
Masotta2013_1EA_023,Table 1EA,1,1,"Masotta et al., 2013",VGPL-10,,1000,2,3.4,X,51.52,0.43,2.76,7.56,0.26,14.61,22.34,0.45,0.1,0,100.03,60.05,0.57,16.8,4.98,0.11,2.17,4.5,4.12,6.38,0.32,100
