model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
AgL24,T,cpx,Cr2O3_cpx,0.005,296.0,0.0,0.0002872363941089527,0.0,0.0,0.06005859375,0.0,0.00020310685441300675,0.0,0.0,278.0
AgL24,T,cpx,Cr2O3_cpx,0.01,296.0,0.0,0.0008575851852829392,0.0,0.0,0.14501953125,0.0,-0.00020640605204814188,0.0,0.0,278.0
AgL24,T,cpx,FeO_cpx,0.005,295.0,0.0,0.2570633193193856,0.9904541015625006,1.391687011718751,2.804443359375,0.0,0.012461309917902542,1.0,0.0,0.0
AgL24,T,cpx,FeO_cpx,0.01,295.0,0.0,0.2570633193193856,0.9904541015625006,1.391687011718751,2.804443359375,0.0,0.012461309917902542,1.0,0.0,0.0
AgL24,T,cpx,K2O_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
AgL24,T,cpx,K2O_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
AgL24,T,cpx,MgO_cpx,0.005,295.0,0.0850830078125,0.2861919855667373,0.9217773437500002,1.4589477539062505,2.7396240234375,0.0,0.01458595405190678,1.0,0.0,0.0
AgL24,T,cpx,MgO_cpx,0.01,294.0,0.11669921875,0.30694247914009354,0.9258056640625,1.3748718261718713,2.56787109375,0.00433349609375,0.02057881257971939,2.0,0.0,0.0
AgL24,T,cpx,MnO_cpx,0.005,296.0,0.0,0.039833687447212836,0.1212158203125,0.16204833984375,0.37744140625,0.0,0.00013361750422297296,0.0,0.0,0.0
AgL24,T,cpx,MnO_cpx,0.01,296.0,0.037139892578125,0.07508272738070101,0.203857421875,0.296539306640625,0.61474609375,0.0,0.005979795713682432,0.0,0.0,0.0
AgL24,T,cpx,Na2O_cpx,0.005,296.0,0.03173828125,0.06669369259396114,0.1812744140625,0.2564697265625,0.4976806640625,0.0,0.0040217219172297295,0.0,0.0,0.0
AgL24,T,cpx,Na2O_cpx,0.01,296.0,0.05340576171875,0.09920130549250422,0.22833251953125,0.33697509765625,0.896240234375,0.0,0.016013686721389357,0.0,0.0,0.0
AgL24,T,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
AgL24,T,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
AgL24,T,cpx,SiO2_cpx,0.005,292.0,0.00128173828125,0.24366593034300085,0.9552612304687518,1.2100708007812495,2.9794921875,0.0,0.013668739632384418,4.0,0.0,0.0
AgL24,T,cpx,SiO2_cpx,0.01,288.0,0.0506591796875,0.22906261020236546,0.8514099121093751,1.1424865722656246,2.7542724609375,0.0,0.01391368442111545,8.0,0.0,0.0
