rank,model,target_type,phase,oxide,median_abs_effect,p95_abs_effect,max_abs_effect,valid_n,qc_failed_n
14,NP17,P,cpx,TiO2_cpx,0.0007360804861633,0.0017336106277281,0.0154544573978636,296.0,0.0
15,NP17,P,cpx,MnO_cpx,0.00010323644900895,0.0007211669119984001,0.0023279207427027,296.0,0.0
16,NP17,P,cpx,K2O_cpx,1.3652465717939322e-06,1.4828083446438711e-05,6.747197867795762e-05,296.0,0.0
17,NP17,P,cpx,FeO_cpx,0.0,0.0,0.0,295.0,1.0
18,NP17,P,cpx,Cr2O3_cpx,0.0,9.414982420352658e-07,1.856054761972814e-05,296.0,0.0
19,NP17,P,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
20,NP17,P,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
1,Pet20,P,liq,Na2O_liq,0.07480428571428585,0.15855071428571388,0.2403485714285702,296.0,0.0
2,Pet20,P,cpx,SiO2_cpx,0.0472928571428572,0.1428722857142853,0.4041771428571428,288.0,8.0
3,Pet20,P,cpx,CaO_cpx,0.04375142857142885,0.23127142857142854,0.3885114285714275,292.0,4.0
4,Pet20,P,liq,SiO2_liq,0.042085714285714254,0.1711271428571426,0.3138200000000015,296.0,0.0
5,Pet20,P,liq,Al2O3_liq,0.0365142857142859,0.13427428571428557,0.6931371050000017,296.0,0.0
6,Pet20,P,cpx,Al2O3_cpx,0.0199399999999996,0.08357357142857143,0.1573885714285721,296.0,0.0
7,Pet20,P,liq,K2O_liq,0.014570000000000801,0.07610999999999943,0.1112600000000005,296.0,0.0
8,Pet20,P,liq,MnO_liq,0.0119700000000002,0.054193571428570994,0.0825285714285701,296.0,0.0
9,Pet20,P,cpx,Na2O_cpx,0.008738571428571651,0.05169,0.1373800000000002,296.0,0.0
10,Pet20,P,liq,CaO_liq,0.00595857142857165,0.060415000000000024,0.1287171428571412,296.0,0.0
11,Pet20,P,cpx,MgO_cpx,0.0057142857142862,0.04871571428571471,0.057137142857143,294.0,2.0
12,Pet20,P,liq,TiO2_liq,0.0028257142857141503,0.0228571428571422,0.0571400000000021,296.0,0.0
13,Pet20,P,cpx,FeO_cpx,0.0,0.0,0.0,295.0,1.0
14,Pet20,P,cpx,Cr2O3_cpx,0.0,0.0,0.0057114285714288,296.0,0.0
15,Pet20,P,cpx,K2O_cpx,0.0,0.002730000000000325,0.019997142857143,296.0,0.0
16,Pet20,P,cpx,MnO_cpx,0.0,0.0142857142857142,0.0413714285714288,296.0,0.0
17,Pet20,P,cpx,TiO2_cpx,0.0,0.0261235714285719,0.0479685714285711,296.0,0.0
18,Pet20,P,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
19,Pet20,P,liq,MgO_liq,0.0,0.0244685714285717,0.0588714285714297,296.0,0.0
20,Pet20,P,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
1,Pet20,T,liq,MgO_liq,1.4454545454544814,3.5720454545452185,4.567272727272666,296.0,0.0
2,Pet20,T,liq,CaO_liq,1.4068181818183803,4.373636363636479,6.154909090909314,296.0,0.0
3,Pet20,T,liq,SiO2_liq,1.1909090909091447,4.143181818182029,6.114545454545578,296.0,0.0
4,Pet20,T,liq,TiO2_liq,1.105454545454677,3.0422727272728594,5.698181818181865,296.0,0.0
5,Pet20,T,liq,Al2O3_liq,0.33363636363628757,1.0559090909093813,1.860000000000128,296.0,0.0
6,Pet20,T,cpx,SiO2_cpx,0.3018181818181347,1.372727272727309,2.6363636363635123,288.0,8.0
7,Pet20,T,liq,Na2O_liq,0.2172727272726433,0.7431818181820518,1.3036363636365422,296.0,0.0
8,Pet20,T,cpx,MgO_cpx,0.20000000000004545,0.6274999999997358,1.199999999999818,294.0,2.0
9,Pet20,T,liq,MnO_liq,0.136363636363626,0.5622727272726706,0.9818181818181984,296.0,0.0
10,Pet20,T,cpx,Al2O3_cpx,0.1272727272730662,0.77909090909111,2.145454545454413,296.0,0.0
11,Pet20,T,cpx,CaO_cpx,0.1272727272727252,0.8289090909090191,2.401818181818271,292.0,4.0
12,Pet20,T,liq,K2O_liq,0.1272727272727252,0.6727272727271156,1.054545454545405,296.0,0.0
13,Pet20,T,cpx,MnO_cpx,0.10500000000001815,0.5790909090908372,1.2799999999999727,296.0,0.0
14,Pet20,T,cpx,Na2O_cpx,0.028181818181792502,0.42431818181808006,1.1163636363635303,296.0,0.0
15,Pet20,T,cpx,TiO2_cpx,0.0272727272727024,0.5,1.1454545454546403,296.0,0.0
16,Pet20,T,cpx,Cr2O3_cpx,0.0,0.0,0.0636363636363057,296.0,0.0
17,Pet20,T,cpx,FeO_cpx,0.0,0.0,0.0,295.0,1.0
18,Pet20,T,cpx,K2O_cpx,0.0,0.3422727272724159,0.9636363636363968,296.0,0.0
19,Pet20,T,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
20,Pet20,T,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
1,Pu08_31,P,liq,SiO2_liq,0.19285409805433135,0.20813123899976854,0.2089131245649973,44.0,0.0
2,Pu08_31,P,liq,Na2O_liq,0.14959630450045136,0.16379227879270422,0.169329632859867,44.0,0.0
3,Pu08_31,P,cpx,MgO_cpx,0.0902689704201353,0.27954844681296037,0.7930528437800035,43.0,2.0
4,Pu08_31,P,liq,Al2O3_liq,0.08654714307629871,0.10709300873964621,0.1082224006686409,44.0,0.0
5,Pu08_31,P,cpx,Na2O_cpx,0.062316765419637904,0.07545865470720797,0.1366697825430023,44.0,0.0
6,Pu08_31,P,cpx,CaO_cpx,0.061996511403815846,0.5399970469340075,1.5255313255921692,42.0,4.0
7,Pu08_31,P,liq,TiO2_liq,0.03187131133191195,0.034807259171651006,0.0354361171322779,44.0,0.0
8,Pu08_31,P,liq,CaO_liq,0.022562046236092897,0.045358227328927164,0.0537908820635344,44.0,0.0
9,Pu08_31,P,liq,MgO_liq,0.0188909043658167,0.024020880684745602,0.027068163219674,44.0,0.0
10,Pu08_31,P,cpx,SiO2_cpx,0.0188683122108477,0.2811646880185466,0.8792864590890446,42.0,8.0
11,Pu08_31,P,liq,K2O_liq,0.0154745812299736,0.018597552691393536,0.018922103330194,44.0,0.0
12,Pu08_31,P,cpx,Al2O3_cpx,0.010710242871651149,0.06517436590445957,0.4336767247438082,44.0,0.0
13,Pu08_31,P,liq,MnO_liq,0.00074077507609965,0.00078662027419099,0.000805478952536,44.0,0.0
14,Pu08_31,P,cpx,TiO2_cpx,0.0003635697783881,0.008805147836707175,0.0558640879780618,44.0,0.0
15,Pu08_31,P,cpx,MnO_cpx,0.0001466826739146931,0.002485939628142645,0.0083653363755651,44.0,0.0
